,0,1,2,3,4,5,6,7,8,9,10,11
ACTB,2.9979281,2.8957345,2.8865852,3.0413451,2.9456313,2.9090462,2.9998896,3.0630717,3.0270972,2.9164226,2.9330962,3.1178327
NFKBIA,0.39162168,0.38248333,0.413828,0.34610826,0.35336795,0.4499603,0.41330293,0.48294064,0.3832547,0.41681874,0.41584584,0.33868256
