,0,1,2,3,4,5,6,7,8,9,10,11
ACTB,2.162656,2.2119868,2.0546253,2.3121722,2.1394002,2.065361,2.2503629,2.318658,2.3202417,2.1895688,2.359079,2.3722067
NFKBIA,0.41503367,0.55575985,0.4170625,0.6094853,0.5758451,0.6220579,0.63868576,0.5719607,0.5149343,0.4663477,0.58786005,0.41966417
